English,Manx,Manx Orginal,Page,Notes
Q. What is the fifth Petition?,Q. Cre ta’n wheiggoo aghin?,,71,
"A. And forgive us our Trespasses, as we forgive them that trespass against us.","A. As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi.",,72,
Q. What is meant by Trespasses?,Q. Cre t’er ny hoiggal liorish loghtyn?,,72,
"A. All Sins, of what Sort or Degree soever.","A. Dy-chooilley pheccah, cre-erbee’n cheint n’yn dooghys te jeh.",,72,
"Q. Why do you add, as we forgive them that trespass against us?","Q. Cre’n-fa t’ow gra, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi?","Q. Cre’n-fa t’ow gra, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi",72,
"A. As an Argument for God to forgive us, and to shew the Necessity of our forgiving our Brethren, since ’tis a Condition without which we shall not be forgiven ourselves.","A. Myr oyr da Jee dy leih dooinyn, as dy hoilshaghey dooin yn ymmyrch dy leih da nyn mraaraghyn, fakin dy vel eh conaant n’egooish cha bee leih nyn gour hene.",,72,
Q. How do you prove that forgiving others is the Condition of our expecting Forgiveness from God?,Q. Kys t’ow prowal dy nee leih da feallagh elley yn conaant liorish oddys mayd jerkal rish leih voish Jee?,,72,
"A. From Matt. vi. 14, 15. If ye forgive men their trespasses, your heavenly Father will also forgive you. But if ye forgive not men their trespasses, neither will your Father forgive your trespasses.","A. Veih Mian vi. 14, 15. My leihys shiuish da deiney nyn loghtyn, leihee nyn Ayr flaunyssagh myrgeddin diuish. Agh mannagh leih shiuish da deiney nyn voiljyn, cha jean yn Ayr eu nyn voiljyn y leih diuish.",,72,
"Mark xi. 25. When ye stand praying, forgive, if ye have ought against any; that your Father also which is in heaven, may forgive you your trespasses.","Mark xi. 25. Tra vees shiu nyn shassoo dy gholl gys padjer, leih-jee, my ta nhee erbee eu noi dooinney erbee; dy vod yn Ayr eu myrgeddin t’ayns niau nyn loghtyn y leih diuish.",,72,
"Luke vi. 37. Forgive, and ye shall be forgiven.","Luke vi. 37. Leih-jee, as yiow shiu leih.",,72,
Q. What is the sixth Petition?,Q. Cre ta’n cheyoo aghin?,,72,
"A. And lead us not into Temptation, but deliver us from Evil.","A. As ny leeid shin ayns miolagh, agh livrey shin veih olk.",,72,
"Q. What do you pray against in this Clause, Lead us not into temptation?","Q. Cre t’ow guee noi ’syn aghin shoh, Ny leeid shin ayns miolagh?",,72,
"A. I pray that God will either keep me from all Temptations to Sin, or would strengthen me under them.","A. Ta mee guee dy jean Jee edyr freayll mee veih dy-chooilley violagh gys peccah, ny mee y niartaghey foue.",,73,
"Q. Why do you pray that God would not lead us into Temptation, since he never tempteth any Man to Sin?","Q. Cre’n-fa t’ow guee nagh jinnagh Jee shin y leeideil ayns miolagh, fakin nagh ren eh rieau miolaghey dooinney erbee gys peccah","Q. Cre’n-fa t’ow guee nagh jinnagh Jee shin y leeideil ayns m?lagh, fakin nagh ren eh rieau miolaghey dooinney erbee gys peccah?",73,
"A. Because all Temptations are by God’s Permission, and he can strengthen at any Time, and keep us from falling,","A. Er-yn-oyr dy vel dy-chooilley violagh liorish kied Yee, as foddee eshyn niartaghey ec traa erbee, as freayll shin voish tuittym.",,73,
Q. What Proof have you of God’s Power and Goodness in this Matter?,Q. Cre’n phrowal t’ayd jeh pooar as mieys Yee ’sy chooish shoh?,,73,
"A. From 1 Cor. x. 13. God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation also make a way to escape, that ye may be able to bear it.","A. Veih 1 Cor. x. 13. Ta Jee firrinagh, nagh lhig diuish dy ve er nyn miolaghey erskyn ny oddys shiu y ymmyrkey; agh nee myrgeddin lesh y violagh raad y yannoo dy scaapail, dy vod niart y ve ayn-diu dy ymmyrkey eh.",,73,
2 Pet. ii. 9. The Lord knoweth how to deliver the godly out of temptations.,2 Phed. ii. 9. Ec y Chiarn ta fys kys dy livrey yn sleih crauee veih seaghyn.,,73,
Q. What is the Evil you pray to be delivered from?,Q. Cre ta’n olk t’ow guee dy v’er ny livrey voish?,,73,
"A. The Evil of Sin and Punishment, the Evil of Temptation, and the Devil, the Author of it.","A. Yn olk dy pheccah as kerraghey, yn olk dy violagh, as y Drogh-Spyrryd, yn bun echey.",,73,
Q. What is the Sum of what you pray for in this Petition? ,Q. Cre ta’n slane jeh ny t’ow guee er y hon ’syn aghin shoh?,,73,
"A. I pray, ‘That it would please God to save and defend me in all Dangers, whether of Soul or Body; and that he will keep me from all Sin and Wickedness, and from my spiritual Enemy, (the Devil) and from everlasting Death.’","A. Ta mee guee, ‘Dy gooidsave lesh Jee dy hauail as dy endeil mee ayns dy-chooilley ghaue annym as callin; as dy vreill eh mee veih dagh peccah as olkys, as veih noid my anmey (yn Drogh-Spyrryd,) as veih’n baase dy-bragh farraghtyn.’",,73,
"Q. What is the Doxology, or Conclusion of the Lord’s Prayer?","Q. Cre ta’n gloyraghey (Doxology,) ny jerrey padjer y Chiarn?",,74,
"A. For thine is the Kingdom, and the Power, and the Glory, for ever and ever. Amen.","A. Son lhiats y reeriaght, as y phooar, as y ghloyr, son dy-bragh as dy-bragh. Amen.",,74,
Q. What is meant by Doxology?[37],,,74,"[37] The Manx avoids a technical term corresponding to doxology, so omits the question/answer explaining it."
A. It is a solemn Form of Praise and Thanksgiving used in the Church of God.,,,74,
Q. What is contained in this Doxology?,Q. Cre t’er ny hoiggal liorish y gloyraghey shoh?,,74,
"A. It contains an Acknowledgment of God’s Excellencies, and of the Honour and Thanks which we are to render to him for whatever we receive; and of the End to which they are to be applied, to his Glory.","A. Liorish t’er ny hoiggal goaill-rish jeh yrjid as pooar er-skyn-towse Yee, as jeh’n ooashley as booise ta shin dy eeck dasyn son cre-erbee ta shin dy gheddyn; as jeh’n ymmyd t’ad dy v’er ny choyrt huggey, gys e ghloyr.",,74,
Q. Why do you say Amen at the Conclusion?,Q. Cre’n-fa t’ow gra Amen ec y jerrey?,,74,
"A. Amen signifies So be it; and I here say it to signify, that I trust God will of his Mercy and Goodness, through our Lord Jesus Christ, grant all that I have prayed for.","A. Liorish Amen t’er ny hoiggal, Myr shen dy row; as ta mee ayns shoh gra eh dy hoilshaghey, dy vel mee treishteil dy jean Jee jeh e vyghin as e vieys, trooid nyn Jiarn Yeesey Creest, gialdyn ooilley ny ta mee er ghoaill padjer er y hon.",,74,
"Q. What Reason have you for this your Trust, that God will hear and grant your Request?","Q. Cre’n resoon t’ayd son shoh dty hreishteil, dy jean Jee geaishtagh rish as gialdyn dty aghin?",,74,
"A. From Matt. vii. 8. Every one that asketh, receiveth.","A. Veih Mian vii. 8. Ta dy-chooilley unnane ta geearree, geddyn.",,74,
"Matt. xxi. 22. All things whatsoever ye shall ask in prayer, believing, ye shall receive.","Mian xxi. 22. Dy-chooilley nhee cre-erbee nee shiu y hirrey ayns padjer, my vees eh lesh credjue, nee shiu y gheddyn eh.",,74,
"John xvi. 23. Verily, verily, I say unto you, whatsoever ye shall ask the Father in my name, he will give it you.","Ean xvi. 23. Dy firrinagh firrinagh ta mee gra riu, cre-erbee hirrys shiu er yn Ayr ayns yn ennym aym’s, ver eh diu eh.",,74,
"1 John v. 14. This is the confidence that we have in him, that if we ask any thing according to his will, he heareth us.","1 Ean v. 14. Shoh’n treishteil t’ain aynsyn, my hirrys shin nhee erbee cordail rish e aigney, t’eh geaishtagh rooin.",,74,
PART V.,YN WHEIGGOO AYRN.,,75,
,mychione,,75,
The Christian Sacraments.,Ny Sacramentyn Creestee.,,75,
,,,75,
SECT. XI.,SECT. XI.,,75,
,,,75,
Of the Two Sacraments; and first of Baptism.,Mychione y Daa Sacrament; as hoshiaght mychione Bashtey.,,75,
,,,75,
Q. How many Sacraments hath Christ ordained in his Church?,Q. Cre-woad Sacrament ta Creest er n’oardaghey ayns e Agglish?,,75,
"A. Two only, as generally necessary to Salvation, that is to say, Baptism, and the Supper of the Lord.","A. Jees ny-lomarcan, er-skyn-ooilley ymmyrchagh gys Saualtys, ta shen dy ghra, Bashtey, as Shibber y Chiarn?",,75,
Q. Why are they said to be generally necessary?,Q. Cre’n-fa t’ad er ny ghra dy ve er-skyn-ooilley ymmyrchagh?,,75,
"A. Because no Persons are excepted from the Obligation of observing them, but those that are incapable, and have not an Opportunity.","A. Er-yn-oyr nagh vel persoonyn erbee feayshlit veih’n kiangley t’ad fo dy chur tastey  daue, agh adsyn nagh vel eh ’sy phooar oc, as nagh vel ad ’sy raad jeh.",,75,
Q. What meanest thou by this word Sacrament?,Q. Cre t’ow dy hoiggal liorish y fockle shoh Sacrament?,,76,
"A. I mean an outward and visible Sign of an inward and spiritual Grace given unto us, ordained by Christ himself, as a Means whereby we receive the same, and a Pledge to assure us thereof.","A. Ta mee toiggal cowrey t’er ny akin cheu-mooie jeh’n ghrayse spyrrydoil er cheu-sthie, er ny choyrt dooin, as er ny oardaghey liorish Creest hene, myr saase liorish ta shin geddyn y grayse cheddin, as gioal son shickyrys dooin jeh.",,76,
Q. How many Parts are there in a Sacrament?,Q. Cre whilleen ayrn t’ayns Sacrament?,,76,
"A. Two; the outward visible Sign, and the inward spiritual Grace.","A. Jees: yn cowrey t’er ny akin cheu-mooie, as y grayse spyrrydoil cheu-sthie.",,76,
"Q. What is the outward visible Sign, or Form in Baptism?",Q. Cre ta’n cowrey er cheu-mooie ayns Bashtey?,,76,
"A. Water; wherein the Person is baptized in the Name of the Father, and of the Son, and of the Holy Ghost.","A. Ushtey; ayn ta’n persoon er ny vashtey, Ayns ennym yn Ayr, as y Vac, as y Spyrryd Noo.",,76,
Q. What is the Command for Baptism?,Q. Cre ta’n saarey son Bashtey?,,76,
"A. In Matt. xxviii. 19. Go ye, and teach [make Disciples in] all nations, baptizing them in the name of the Father, and of the Son and of the Holy Ghost.","A. Ayns Mian xxviii. 19. Immee-je as ynsee-jee dy-chooilley ashoon, as jean-jee ad y vashtey ayns ennym yn Ayr, as y Vac, as y Spyrryd Noo.",,76,
Q. What is the inward and spiritual Grace?,Q. Cre ta’n grayse spyrrydoil er cheu-sthie?,,76,
"A. A Death unto Sin, and a new Birth unto Righteousness; for being by Nature born in Sin, and the Children of Wrath, we are hereby made the Children of Grace.","A. Baase gys peccah, as bea noa gys craueeaght: son ga va shin liorish dooghys er nyn ruggey ayns peccah, as nyn gloan dy chorree, ta shin liorish shoh jeant nyn gloan dy ghrayse.",,76,
Q. What is the State you and all Mankind were in before Baptism?,Q. Cre’n stayd va uss as ooilley sheelnaaue ayn roïsh Bashtey?,,77,
"A. We were by nature born in sin, and the children of wrath, Eph. ii. 3.","A. Va shin liorish dooghys er nyn ruggey ayns peccah, as nyn gloan dy yymmoose, Eph. ii 3.",,77,
Q. What is the state you are brought into by Baptism?,Q. Cre ta’n stayd t’ow er ny choyrt ayn liorish Bashtey?,,77,
A. We are hereby made the Children of Grace.,A. Ta shin liorish shoh jeant nyn gloan dy ghrayse.,,77,
Q. How are you made a Child of Grace by Baptism?,Q. Kys t’ow jeant dty liannoo dy ghrayse liorish Bashtey?,Q. Kys t’ow jeant dy liannoo dy ghrayse liorish Bashtey?,77,
"A. As I am thereby adopted to be God’s Child, and taken into Covenant with him, and have a Title to the Grace and Blessings of that Covenant, which my Baptism is the Means and Pledge of.","A. Myr ta mee liorish doltanys er my ghoaill dy ve liannoo dy Yee, as goit ayns conaant rishyn, as dy vel cairys aym gys grayse as bannaghtyn y chonaant shen, jeh ta my Vashtey ny saaseyn as y gioal.",,77,
Q. Is Baptism alone sufficient to Salvation?,Q. Vel Bashtey ny-lomarcan fondagh gys Saualtys?,,77,
"A. No, not in grown Persons; such must die unto Sin, and live unto Righteousness.","A. Cha vel, ayns persoonyn t’er heet gys eash; shegin da nyn lheid baase y gheddyn gys peccah, as bea noa y leeideil gys craueeaght.",,77,
Q. What is it to die unto Sin?,Q. Cre te dy gheddyn baase gys peccah?,,77,
"A. It is to be changed from the Pollution of Sin, and to cease from it, as a Dead Man does from the Actions of Life.","A. Te dy ve er ny chaghlaa veih eajeeys peccah, as dy scuir veih, myr ta dooinney marroo jannoo veih obbraghyn y vea shoh.",,77,
Q. What is it to live unto Righteousness?,Q. Cre te dy leeideil bea noa gys craueeaght?,,77,
"A. It is to have a Change wrought in the Soul, by receiving holy Dispositions from the Spirit of God, and an Ability to proceed in all Virtue and Godliness of living.","A. Te dy bee caghlaa er ny obbraghey ’syn annym, liorish geddyn yeearreeyn crauee veih Spyrryd Yee, as pooar dy gholl er nyn  doshiaght ayns dy-chooilley ghrayse as craueeaght bea.",,77,
"Q. How do you prove that in Baptism there is a Death unto Sin, and a new Birth unto Righteousness?","Q. Kys t’ow prowal dy vel ayns bashtey baase gys peccah, as bea noa gys craueeaght?",,78,
"A. From Rom. vi. 4. We are buried with him by baptism into death; that like as Christ was raised up from the dead by the glory of the Father, even so we also should walk in newness of life.","A. Veih Rom vi. 4. Ta shin oanluckit mârishyn liorish bashtey gys baase: ’naght myr va Creest troggit seose veih ny merriu liorish gloyr yn Ayr, dy-jarroo myr shen lhisagh shin myrgeddyn gimmeeaght ayns bea noa.",,78,
"Rom. vi. 11. Reckon ye yourselves to be dead indeed unto sin, but alive unto God, through Jesus Christ our Lord.","Rom. vi. 11. Jeeagh-jee shiuish erriu hene dy ve marroo dy-jarroo gys peccah, agh bio gys Jee, trooid Yeesey Creest nyn Jiarn.",,78,
"2 Cor. v. 17. If any man be in Christ, he is a new creature.","2 Cor. v. 17. My ta dooinney erbee ayns Creest, t’eh ny chretoor noa.",,78,
Q. What is required of Persons to be baptized?,Q. Cre ta er ny hirrey er persoonyn ta dy ve bashtit?,,78,
"A. Repentance, whereby they forsake Sin; and Faith, whereby they stedfastly believe the Promises of God made to them in that Sacrament.","A. Arrys, liorish t’ad treigeil peccah; as credjue, liorish t’ad dy-shickyr credjal gialdinyn Yee, jeant daue ayns y Sacrament shen.",,78,
Q. What is Repentance?,Q. Cre ta arrys?,,78,
"A. A hearty Sorrow for, and forsaking of Sin.","A. Trimshey creeoil son peccah, as dy hreigeil eh.",,78,
Q. How do you prove that Repentance is required of Persons to be baptized?,Q. Kys t’ow prowal dy vel arrys er ny hirrey er persoonyn ta dy ve bashtit?,,78,
"A. From Acts ii. 38. Repent, and be baptized every one of you in the Name of Jesus Christ, for the remission of sins.","A. Veih Jannoo ii. 38. Gow-jee arrys, as bee-jee er nyn mashtey dy-chooilley unnane eu ayns ennym Yeesey Creest, son leih peccaghyn.",,78,
Q. How do you prove that Faith is required of Persons to be baptized?,Q. Kys t’ow prowal dy vel credjue er ny hirrey er persoonyn dy ve bashtit?,,78,
A. From Acts ii. 41. They that gladly received his word were baptized.,A. Veih Jannoo ii 41. V’adsyn va dy-arryltagh er ghoaill e ghoo er nyn mashtey.,,79,
"Acts viii. 37. If thou believest with all thine heart, thou mayest be baptized.","Jannoo viii. 37. My t’ow credjal lesh ooilley dty chree, foddee oo ve er ny vashtey.",,79,
"Q. Why then are Infants baptized, when by reason of their tender Age they cannot perform them?","Q. Cre’n-fa eisht ta oikanyn er nyn mashtey, fakin nagh vod ad kyndagh rish nyn aegid adsyn y chooilleeney?",,79,
"A. Because they promise them both [Repentance and Faith] by their Sureties; which Promise, when they are come to Age, themselves are bound to perform.","A. Son dy vel ad gialldyn ad ny-neesht (Arrys as Credjue) liorish nyn raanteenyn; yn gialdin cheddin, tra hig ad gys eash, t’ad hene kainlt dy chooilleeney.",,79,
"Q. If Repentance and Faith be required of persons to be baptized, how then are children capable of Baptism?","Q. My ta Arrys as Credjue er ny hirrey er persoonyn ta dy ve bashtit, kys eisht oddys cloan v’er nyn mashtey?",,79,
"A. They are capable of a Covenant-Title to the Blessings of Pardon, Grace, and Salvation, on God’s Part, and of being obliged by Vow and Promise on their Part; but actual Faith and Repentance is then necessary, when they come of Age to take this Vow upon themselves.","A. Ta cairys-conaant oc gys ny bannaghtyn dy phardoon, grayse, as Saualtys, er ayrn Yee, as dy ve kainlt liorish breearrey as gialdyn er yn ayrn oc hene; agh ta Credjue firrinagh as Arrys ec y traa shen ymmyrchagh, tra t’ad cheet gys eash dy ghoaill yn breearrey shoh orroo hene.",,79,
Q. What proof have you that Infants are capable of Grace and Salvation?,Q. Cre’n phrowal t’ayd dy vel cairys ec oikanyn gys grayse as Saualtys?,,79,
"A. From Matt. xix. 14. Suffer little children, and forbid them not to come unto me; for of such is the kingdom of heaven.","A. Veih Mian xix. 14. Surr-jee cloan aegey, as ny jean-jee nyn lhiettal ad dy heet hyms: son jeh nyn lheid ta reeriaght niau.",,79,
Q. What Proof have you of Infants being obliged to do a Thing they do not actually consent to?,Q. Cre’n phrowal t’ayd dy vel oikanyn kainlt dy yannoo red nagh vel ’sy phooar oc dy yialdyn?,,79,
"A. From Gen. xvii. 14. The uncircumcised man child, whose flesh of his foreskin is not circumcised, that soul shall be cut off from his people; he hath broken my covenant.","A. Veih Gen. xvii. 14. Yn lhiannoo-mac nagh vel er ny yiarey chymmylt, bee yn annym shen er ny yiarey jeh veih e phobble; t’eh er vrishey my chonaant.[38]",,80,"[38] In 1771 Yn Chenn Chonaant: As y lhiannoo mac nagh vel er ny yiarey chymmylt ayns yn eill echey, bee yn annym cheddin er ny yiarey jeh veih e phobble: t’eh er vrishey my chonaant."
"Deut. xxix. 10, 11, 12. Ye stand this day all of you before the Lord; your captains of your tribes, your little ones, that thou shouldest enter into covenant with the Lord thy God.","Deut. xxix. 10, 11, 12. Ta shiu ooilley shassoo yn laa jiu kiongoyrt rish y Chiarn; captanyn ny tribeyn eu, yn chloan veggey eu, dy jinnagh oo gentreil ayns conaant rish y Chiarn dty Yee.[39]",,80,"[39] In 1771 Yn Chenn Chonaant: Ta shiu ooilley nyn shassoo jiu, fenish y Chiarn y Jee eu; captanyn nyn tribeyn, ... Nyn vooinjer veggey ... Dy ragh oo ayns conaant rish y Chiarn dty Yee."
Q. What Warrant is there for the Baptism of Infants born of Christian Parents?,Q. Cre’n warrant ta son Bashtey oikanyn t’er nyn ruggey jeh ayraghyn as moiraghyn Creestee?,,80,
"A. Because the Covenant, which Baptism is the Admission into, belongs to them.","A. Er-yn-oyr dy vel y conaant, ta shin goit ayn liorish Bashtey, bentyn dauesyn.",,80,
Q. How do you prove that the Covenant belongs to the Children of Christian parents?,Q. Kys t’ow prowal dy vel y conaant bentyn gys cloan ayraghyn as moiraghyn Creestee?,,80,
"A. From Acts ii. 39. The promise is unto you, and to your children.","A. Veih Jannoo ii. 39. Ta’n gialdyn diuish, as da nyn gloan.",,80,
"1 Cor. vii. 14. Now are your children holy, [or Christians.]",1 Cor. vii. 14. Nish ta’n chloan eu casherick (ny Creesteenyn.),,80,
"SECT, XII.",SECT. XII.,,80,
,,,80,
Of the Lord’s Supper.,Mychione Shibber y Chiarn.,,80,
,,,80,
Q. Why was the Sacrament of the Lord’s Supper ordained?,Q. Cre’n-fa va Sacrament Shibber y Chiarn er ny oardaghey?,,80,
"A. For the continual Remembrance of the Sacrifice of the Death of Christ, and of the Benefits which we receive thereby.","A. Son cooinaghtyn kinjagh jeh oural-baase Chreest, as jeh ny vondeishyn ta shin dy gheddyn liorish.",,80,
Q. Why is this Sacrament called the Lord’s Supper?,Q. Cre’n-fa ta’n Sacrament shoh enmyssit Shibber y Chiarn?,,80,
"A. Because it was appointed by our Lord at Supper, immediately before his Death.","A. Er-yn-oyr dy row eh er ny oardaghey liorish nyn Jiarn ec Shibber, gerrit roish e vaase.",,81,
Q. For what End did our Lord appoint it?,Q. Son cre’n oyr ren nyn Jiarn y oardaghey eh?,,81,
"A. As a Means to keep up the Remembrance of the Sacrifice of his Death, and to convey and assure to us the Benefits we receive thereby.","A. Myr saase dy reayll seose cooinaghtyn jeh oural e vaase, as dy chur cairys as dy hickyraghey dooin ny vondeishyn ta shin geddyn liorish.",,81,
Q. How does this appear to be the End of appointing this Sacrament?,Q. Kys ta shoh ry akin dy ve yn oyr son goardaghey yn Sacrament shoh?,,81,
"A. From Luke xxii. 19. This is my body, which is given for you: this do in remembrance of me.",A. Veih Luke xxii. 19. Shoh my chorp t’er ny choyrt er nyn son eu: shoh jean-jee ayns cooinaghtyn jeem’s.,,81,
"1 Cor. xi. 26. As often as ye eat this bread, and drink this cup, ye do shew the Lord’s death till he come.","1 Cor. xi. 26. Cha mennick as ee-ys shiu yn arran shoh, as iu-ys shiu yn cappan shoh, ta shiu soilshaghey magh baase y Chiarn derrey hig eh.",,81,
"Matt. xxvi. 28. This is my blood of the new testament, which is shed for many, for the remission of sins. ","Mian xxvi. 38. Shoh my uill’s jeh’n conaant noa, t’er ny gheayrtey son ymmodee son leih peccaghyn.",,81,
Q. Why is Christ’s Death called a Sacrifice?,Q. Cre’n-fa ta baase Chreest enmyssit ny Oural?,,81,
A. Because Christ was a Sacrifice for Sin.,A. Er-yn-oyr dy row Creest ny Oural son peccah.,,81,
Q. How do you prove that Christ was a Sacrifice for sin?,Q. Kys t’ow prowal dy row Creest ny oural son peccah?,,81,
A. From Heb. ix. 26. He put away sin by the Sacrifice of himself.,A. Veih Heb. ix. 26. Hug eh ersooyl peccah liorish jannoo eh hene ny oural.,,81,
"2 Cor. v. 21. He hath made him to be sin [a Sin-offering] for us, who knew no sin.","2 Cor. v. 21. Hug eh ersyn va seyr veih peccah, dy ve oural er nyn son.",,81,
Q. How long is this Ordinance to continue?,Q. Caid ta’n oardagh shoh dy hannaghtyn?,,82,
"A. It is for the continual Remembrance of the Death of Christ, till he come to judge the World.","A. Te son cooinaghtyn kinjagh jeh baase Chreest, derrey hig eh dy vriwnys y theihll.",,82,
Q. How do you prove that the Sacrament of the Lord’s Supper is to continue till Christ’s second coming to judge the World?,Q. Kys t’ow prowal dy vel Sacrament Shibber y Chiarn dy hannaghtyn derrey hig Creest yn nah cheayrt dy vriwnys y theihll?,,82,
"A. From 1 Cor. xi. 26. As oft as ye eat this bread, and drink this cup, ye do show the Lord’s death till he come.","A. Veih 1 Cor. xi. 26. Cha mennick as ee-ys shiu yn arran shoh, as iu-ys shiu yn cappan shoh, ta shiu soilshaghey magh baase y Chiarn derrey hig eh.",,82,
"Q. What is the outward Part, or Sign of the Lord’s Supper?",Q. Cre ta’n cowrey ny’n ayrn er cheu-mooie jeh Shibber y Chiarn?,,82,
"A. Bread and Wine, which the Lord hath commanded to be received.","A. Arran as Feeyn, ta’n Chiarn er chur saarey dy ve er ny ghoaill.",,82,
Q. What Proof have you that the Lord hath commanded Bread and Wine to be received?,Q. Cre’n phrowal t’ayd dy vel y Chiarn er haarey Arran as Feeyn dy v’er ny ghoaill?,,82,
"A. From 1 Cor. xi. 23, 24, 25. I have received of the Lord, that the Lord Jesus, the same night in which he was betrayed, took bread: and when he had given thanks, he brake it, and said, Take, eat; this is my body, which is broken for you: this do in remembrance of me. After the same manner also he took the cup.","A. Veih 1 Cor. xi. 23, 24, 25. Ta mish er gheddyn veih’n Chiarn. Dy ren y Chiarn Yeesey, yn oie cheddin ayn v’eh er ny vrah, arran y ghoaill: as tra v’eh er choyrt booise, vrish eh eh as dooyrt eh, Gow-jee, ee-jee; shoh my chorp’s t’er ny vrishey er nyn son eu: jean-jee shoh ayns cooinaghtyn jeem’s. Er yn aght cheddin neesht ghow eh yn cappan.",,82,
"Q. What is the inward Part, or Thing signified?","Q. Cre ta’n ayrn er cheu-sthie, ny’n red t’er ny chowraghey liorish?",,82,
"A. The Body and Blood of Christ, which are verily and indeed taken, and received by the Faithful in the Lord’s Supper.","A. Corp as fuill Chreest, ta dy-jarroo as dy-firrinagh goit as er ny ghoaill liorish y chloan[40] chrauee ayns Shibber y Chiarn.",,82,"[40] chloan] This word is barely legible in the 1769 print, but the question and answer are taken verbatim from the Prayer Book, where chloan is clear."
Q. How is the Body and Blood of Christ verily and indeed taken and received?,Q. Kys ta corp as fuill Chreest dy-jarroo as dy-firrinagh goit as er ny ghoaill?,,83,
"A. All who rightly receive this Sacrament, do thereby actually partake of that great Sacrifice which Christ offered; and of all the Benefits which he thereby merited for Mankind, in order to the sanctifying and saving of their Souls.","A. Ooilley ny ta dy-cooie goaill y Sacrament shoh, t’ad liorish shen ayns firrinys goaill ayrn jeh’n Oural mooar shen ren Creest y hebbal; as jeh ooilley ny vondeishyn t’eh liorish shen er hoilchin son sheelnaaue, cour casherickey as sauail nyn anmeenyn.",,83,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,83,
"A. From 1 Cor. x. 16. The cup of blessing which we bless, is it not the communion of the blood of Christ? The bread which we break, is it not the communion of the body of Christ?","A. Veih 1 Cor. x. 16. Yn cappan dy vannaght ta shin dy oltaghey, nagh nee shoh dy ghoaill ayrn jeh fuill Chreest? Yn arran ta shin dy vrishey, nagh nee shoh dy ghoaill ayrn jeh corp Chreest?",,83,
Q. What are the Benefits which we receive thereby?,Q. Cre ny vondeishyn ta shin dy gheddyn liorish?,,83,
"A. The strengthening and refreshing of our Souls by the Body and Blood of Christ, as our Bodies are by the Bread and Wine.","A. Niartagh as ooragh nyn anmeenyn liorish corp as fuill Chreest, myr ta nyn gallinyn liorish yn arran as y feeyn.",,83,
Q. How are our Souls strengthened and refreshed by the Body and Blood of Christ?,Q. Kys ta nyn anmeenyn er nyn niartaghey as er nyn ooraghey liorish corp as fuill Chreest?,,83,
"A. By being meet Partakers of the sacramental Bread and Wine, we are assured of Christ’s Favour and Goodness towards us; that we are true and living Members of his Body the Church, and also Heirs, through Hope, of his everlasting Kingdom.","A. Liorish dy-cooie goaill ayrn jeh’n arran as feeyn ayns y Chreestiaght, ta shickyrys ain jeh foayr as mieys Chreest; dy vel shin oltyn firrinagh as bio jeh e chorp yn Agglish as myrgeddyn eiraghyn trooid treishteil, jeh e reeriaght dy bragh farraghtyn.",,83,
Q. What is required of them who come to the Lord’s Supper?,Q. Cre’n currym ta lhie orroosyn ta cheet gys Shibber y Chiarn?,,83,
"A. To examine themselves, whether they repent them truly of their former Sins, stedfastly purposing to lead a new Life, have a lively Faith in God’s Mercy through Christ, with a thankful Remembrance of his Death, and be in Charity with all Men.","A. Dy eysht ad hene, vel ad dy-firrinagh goaill arrys son nyn beccaghyn t’er n’gholl shaghey, dy-shickyr kiarail bea noa y leeideil, credjue bio ’ve oc ayns myghin Yee trooid Creest, lesh cooinaghtyn booisal jeh e vaase, as ve ayns graih rish dy-chooilley ghooinney.",,84,
Q. How do you prove this Examination necessary?,Q. Kys t’ow prowal dy vel eh ymmyrchagh myr shoh dy eysht shin hene?,,84,
"A. From 1 Cor. xi. 27, 28. Whosoever shall eat this bread, and drink this cup of the Lord unworthily, shall be guilty of the body and blood of the Lord. But let a man examine himself, and so let him eat of that bread, and drink of that cup.","A. Veih 1 Cor. xi. 27, 28. Quoi-erbee ee-ys yn arran shoh, as iu-ys y cappan shoh jeh’n Chiarn dy-neu-feeu bee eh oolee jeh corp as fuill y Chiarn. Agh lhig da dooinney eh hene y eysht, as myr shen lhig da gee jeh’n arran shen, as giu jeh’n chappan shen.",,84,
Q. Why is Repentance necessary to the Receiving of the Lord’s Supper?,Q. Cre’n-fa ta arrys ymmyrchagh gys goaill Shibber y Chiarn?,,84,
"A. Because without Repentance we can hope for no Benefit from the Death of Christ, which we here remember.",A. Er-yn-oyr fegooish arrys nagh vod mayd jerkal son vondeish erbee veih baase Chreest ta shin ayns shen freayll ayns cooinaghtyn.,,84,
Q. How is it proved that we ought to repent?,Q. Kys te er ny phrowal dy lhisagh shin arrys y ghoaill?,,84,
"A. From 1 Cor. v. 8. Let us keep the feast, not with old leaven, neither with the leaven of malice and wickedness, but with the unleavened bread of sincerity and truth.","A. Veih 1 Cor. v. 8. Lhig dooin freayll yn feailley; cha nee lesh y chenn soorit, cha-moo lesh y soorit dy ghoanlys as olkys; agh lesh yn arran millish dy ynrickys as firrinys.",,84,
